Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
@ManUtd_ID Minimal tahun ini juara dulu jink,minimal tahun ini juara dulu jink,positif,minimal tahun ini juara dulu jink,minimal tahun ini juara dulu jink,minimal tahun ini juara dulu jink,"['minimal', 'tahun', 'ini', 'juara', 'dulu', 'jink']",minimal juara jink
@ManUtd_ID Semuanya aja cedera ajg biar degradasi sekalian,semuanya aja cedera ajg biar degradasi sekalian,negatif,semuanya aja cedera ajg biar degradasi sekalian,semuanya aja cedera ajg biar degradasi sekalian,semuanya saja cedera ajg biar degradasi sekalian,"['semuanya', 'saja', 'cedera', 'ajg', 'biar', 'degradasi', 'sekalian']",cedera ajg biar degradasi
Lupakan kekalahan @ManUtd_ID malam ini &amp,lupakan kekalahan malam ini amp,negatif,lupakan kekalahan malam ini amp,lupakan kekalahan malam ini amp,lupakan kekalahan malam ini amp,"['lupakan', 'kekalahan', 'malam', 'ini', 'amp']",lupakan kekalahan malam amp
@ManUtd_ID selesai tu emyu,selesai tu emyu,netral,selesai tu emyu,selesai tu emyu,selesai itu emyu,"['selesai', 'itu', 'emyu']",selesai emyu
@ManUtd_ID gw fans Ronaldo gw cuma mau bilang ayo mana ayo yang dulu ngebela Ten haq sampe membully legend MU sendiri adu argumen ayo nikmatin tuh taktik liga Belanda sama pemain liga Belanda nya MAMPUS.,gw fans ronaldo gw cuma mau bilang ayo mana ayo yang dulu ngebela ten haq sampe membully legend mu sendiri adu argumen ayo nikmatin tuh taktik liga belanda sama pemain liga belanda nya mampus,negatif,gw fans ronaldo gw cuma mau bilang ayo mana ayo yang dulu ngebela ten haq sampe membully legend mu sendiri adu argumen ayo nikmatin tuh taktik liga belanda sama pemain liga belanda nya mampus,gw fans ronaldo gw cuma mau bilang ayo mana ayo yang dulu ngebela ten haq sampe membully legend mu sendiri adu argumen ayo nikmatin tuh taktik liga belanda sama pemain liga belanda nya mampus,gue fan ronaldo gue cuma mau bilang ayo mana ayo yang dulu membela ten haq sampai membully legend mu sendiri adu argumen ayo menikmati tuh taktik liga belanda sama pemain liga belanda nya mampus,"['gue', 'fan', 'ronaldo', 'gue', 'cuma', 'mau', 'bilang', 'ayo', 'mana', 'ayo', 'yang', 'dulu', 'membela', 'ten', 'haq', 'sampai', 'membully', 'legend', 'mu', 'sendiri', 'adu', 'argumen', 'ayo', 'menikmati', 'tuh', 'taktik', 'liga', 'belanda', 'sama', 'pemain', 'liga', 'belanda', 'nya', 'mampus']",gue fan ronaldo gue bilang ayo ayo membela ten haq membully legend mu adu argumen ayo menikmati tuh taktik liga belanda pemain liga belanda nya mampus
Gua belain nahan ngantuk mai nonton emyu. Kirain Manchester United vs Tottenham mulai tepat 22.00 WIB. Ga taunya masih 30 menit lagi. #MUNTOT,gua belain nahan ngantuk mai nonton emyu kirain manchester united vs tottenham mulai tepat wib ga taunya masih menit lagi muntot,negatif,gua belain nahan ngantuk mai nonton emyu kirain manchester united vs tottenham mulai tepat wib ga taunya masih menit lagi muntot,gua belain nahan ngantuk mai nonton emyu kirain manchester united vs tottenham mulai tepat wib ga taunya masih menit lagi muntot,gua membela menahan ngantuk mai menonton emyu mengira manchester united vs tottenham mulai tepat wib enggak taunya masih menit lagi muntot,"['gua', 'membela', 'menahan', 'ngantuk', 'mai', 'menonton', 'emyu', 'mengira', 'manchester', 'united', 'vs', 'tottenham', 'mulai', 'tepat', 'wib', 'enggak', 'taunya', 'masih', 'menit', 'lagi', 'muntot']",gua membela menahan ngantuk mai menonton emyu manchester united vs tottenham wib taunya menit muntot
@ManUtd_ID Tolol eram bolo,tolol eram bolo,negatif,tolol eram bolo,tolol eram bolo,tolol eram bolo,"['tolol', 'eram', 'bolo']",tolol eram bolo
@ManUtd_ID Mampus bangsat,mampus bangsat,negatif,mampus bangsat,mampus bangsat,mampus bangsat,"['mampus', 'bangsat']",mampus bangsat
@ManUtd_ID tim ini tukeran sama Persikabo Bojonegoro juga belum tentu mau . emang udah lapuk aja walaupun beli pemain mahal pun buat gantiin bek nya kayanya juga ga ngaruh,tim ini tukeran sama persikabo bojonegoro juga belum tentu mau emang udah lapuk aja walaupun beli pemain mahal pun buat gantiin bek nya kayanya juga ga ngaruh,negatif,tim ini tukeran sama persikabo bojonegoro juga belum tentu mau emang udah lapuk aja walaupun beli pemain mahal pun buat gantiin bek nya kayanya juga ga ngaruh,tim ini tukeran sama persikabo bojonegoro juga belum tentu mau emang udah lapuk aja walaupun beli pemain mahal pun buat gantiin bek nya kayanya juga ga ngaruh,tim ini tukeran sama persikabo bojonegoro juga belum tentu mau memang sudah lapuk saja walaupun beli pemain mahal pun buat gantiin bek nya kayanya juga enggak ngaruh,"['tim', 'ini', 'tukeran', 'sama', 'persikabo', 'bojonegoro', 'juga', 'belum', 'tentu', 'mau', 'memang', 'sudah', 'lapuk', 'saja', 'walaupun', 'beli', 'pemain', 'mahal', 'pun', 'buat', 'gantiin', 'bek', 'nya', 'kayanya', 'juga', 'enggak', 'ngaruh']",tim tukeran persikabo bojonegoro lapuk beli pemain mahal gantiin bek nya kayanya ngaruh
UJadwal main kapan? jam berapa.. Ten Hag tuh cuma segitu aja pecat udah trus ambil Zidane,ujadwal main kapan jam berapa ten hag tuh cuma segitu aja pecat udah trus ambil zidane,negatif,ujadwal main kapan jam berapa ten hag tuh cuma segitu aja pecat udah trus ambil zidane,ujadwal main kapan jam berapa ten hag tuh cuma segitu aja pecat udah trus ambil zidane,ujadwal main kapan jam berapa ten hag tuh cuma segitu saja pecat sudah terus ambil zidane,"['ujadwal', 'main', 'kapan', 'jam', 'berapa', 'ten', 'hag', 'tuh', 'cuma', 'segitu', 'saja', 'pecat', 'sudah', 'terus', 'ambil', 'zidane']",ujadwal main jam ten hag tuh segitu pecat ambil zidane
@ManUtd_ID Amorim maunya apa sih? Gila aja ngarep Mainoo jadi false nine ah pantek,amorim maunya apa sih gila aja ngarep mainoo jadi false nine ah pantek,negatif,amorim maunya apa sih gila aja ngarep mainoo jadi false nine ah pantek,amorim maunya apa sih gila aja ngarep mainoo jadi false nine ah pantek,amorim maunya apa sih gila saja mengharap mainoo jadi false nine ah pantek,"['amorim', 'maunya', 'apa', 'sih', 'gila', 'saja', 'mengharap', 'mainoo', 'jadi', 'false', 'nine', 'ah', 'pantek']",amorim maunya sih gila mengharap mainoo false nine ah pantek
@ManUtd_ID Selesai tu EmYu,selesai tu emyu,netral,selesai tu emyu,selesai tu emyu,selesai itu emyu,"['selesai', 'itu', 'emyu']",selesai emyu
@ManUtd_ID Masa lalu itu lee,masa lalu itu lee,negatif,masa lalu itu lee,masa lalu itu lee,masa lalu itu lee,"['masa', 'lalu', 'itu', 'lee']",lee
@ManUtd_ID Blok goblok,blok goblok,negatif,blok goblok,blok goblok,blok goblok,"['blok', 'goblok']",blok goblok
@ManUtd_ID Bubarin aja dah ini klub ga ada benernya,bubarin aja dah ini klub ga ada benernya,negatif,bubarin aja dah ini klub ga ada benernya,bubarin aja dah ini klub ga ada benernya,bubarin saja deh ini klub enggak ada benernya,"['bubarin', 'saja', 'deh', 'ini', 'klub', 'enggak', 'ada', 'benernya']",bubarin deh klub benernya
Sampe kapan ya kata2 biasakan nonton emyu sampe abis ini dipake,sampe kapan ya kata biasakan nonton emyu sampe abis ini dipake,netral,sampe kapan ya kata biasakan nonton emyu sampe abis ini dipake,sampe kapan ya kata biasakan nonton emyu sampe abis ini dipake,sampai kapan ya kata biasakan menonton emyu sampai habis ini dipakai,"['sampai', 'kapan', 'ya', 'kata', 'biasakan', 'menonton', 'emyu', 'sampai', 'habis', 'ini', 'dipakai']",ya biasakan menonton emyu habis dipakai
@ManUtd_ID Koh @ernestprakasa mengalami mukjizat...,koh mengalami mukjizat,positif,koh mengalami mukjizat,koh mengalami mukjizat,koh mengalami mukjizat,"['koh', 'mengalami', 'mukjizat']",koh mengalami mukjizat
@ManUtd_ID Jangan sia sia kan waktu istirahat mu dengan menonton tim setan,jangan sia sia kan waktu istirahat mu dengan menonton tim setan,negatif,jangan sia sia kan waktu istirahat mu dengan menonton tim setan,jangan sia sia kan waktu istirahat mu dengan menonton tim setan,jangan sia sia kan waktu istirahat mu dengan menonton tim setan,"['jangan', 'sia', 'sia', 'kan', 'waktu', 'istirahat', 'mu', 'dengan', 'menonton', 'tim', 'setan']",sia sia istirahat mu menonton tim setan
Jadon Sancho sepertinya akan meninggalkan ManUnited di deadline day bursa transfer Juventus dan Chelsea masih mengusahakan kesepakatan permanen ataupun peminjaman @David_Ornstein #ManchesterUnited #Sancho #kingemyu https://t.co/jQ60112eMB,jadon sancho sepertinya akan meninggalkan manunited di deadline day bursa transfer juventus dan chelsea masih mengusahakan kesepakatan permanen ataupun peminjaman manchesterunited sancho kingemyu,positif,jadon sancho sepertinya akan meninggalkan manunited di deadline day bursa transfer juventus dan chelsea masih mengusahakan kesepakatan permanen ataupun peminjaman manchesterunited sancho kingemyu,jadon sancho sepertinya akan meninggalkan manunited di deadline day bursa transfer juventus dan chelsea masih mengusahakan kesepakatan permanen ataupun peminjaman manchesterunited sancho kingemyu,jadon sancho sepertinya akan meninggalkan manunited di deadline day bursa transfer juventus dan chelsea masih mengusahakan kesepakatan permanen ataupun peminjaman manchesterunited sancho kingemyu,"['jadon', 'sancho', 'sepertinya', 'akan', 'meninggalkan', 'manunited', 'di', 'deadline', 'day', 'bursa', 'transfer', 'juventus', 'dan', 'chelsea', 'masih', 'mengusahakan', 'kesepakatan', 'permanen', 'ataupun', 'peminjaman', 'manchesterunited', 'sancho', 'kingemyu']",jadon sancho meninggalkan manunited deadline day bursa transfer juventus chelsea mengusahakan kesepakatan permanen peminjaman manchesterunited sancho kingemyu
@my_supersoccer ini orang omongannya nyelekit mlu takut bgt nanti giliran emyu yg jago itu kena,ini orang omongannya nyelekit mlu takut bgt nanti giliran emyu yg jago itu kena,positif,ini orang omongannya nyelekit mlu takut bgt nanti giliran emyu yg jago itu kena,ini orang omongannya nyelekit mlu takut bgt nanti giliran emyu yg jago itu kena,ini orang omongannya nyelekit melulu takut banget nanti giliran emyu yang jago itu kena,"['ini', 'orang', 'omongannya', 'nyelekit', 'melulu', 'takut', 'banget', 'nanti', 'giliran', 'emyu', 'yang', 'jago', 'itu', 'kena']",orang omongannya nyelekit melulu takut banget giliran emyu jago kena
Anteng-anteng aja om @ManUtd_ID ?,antenganteng aja om,positif,antenganteng aja om,antenganteng aja om,antenganteng saja om,"['antenganteng', 'saja', 'om']",antenganteng om
@ManUtd_ID Kalo maen jam 3 udh pasti menang tapi kalo maen jam 9an udh pasti kalah,kalo maen jam udh pasti menang tapi kalo maen jam an udh pasti kalah,positif,kalo maen jam udh pasti menang tapi kalo maen jam an udh pasti kalah,kalo maen jam udh pasti menang tapi kalo maen jam an udh pasti kalah,kalo main jam sudah pasti menang tapi kalo main jam an sudah pasti kalah,"['kalo', 'main', 'jam', 'sudah', 'pasti', 'menang', 'tapi', 'kalo', 'main', 'jam', 'an', 'sudah', 'pasti', 'kalah']",kalo main jam menang kalo main jam an kalah
Siapa yang bisa gendong Emyu kalo pilarnya justru tuntas KKM aja kagak Mau bilang apaan ke mereka ges? #SUPERLIVE #SUPERSOCCER #INIRASANYASUPER #MANCHESTERUNITED https://t.co/qpTv2AYIAE,siapa yang bisa gendong emyu kalo pilarnya justru tuntas kkm aja kagak mau bilang apaan ke mereka ges superlive supersoccer inirasanyasuper manchesterunited,negatif,siapa yang bisa gendong emyu kalo pilarnya justru tuntas kkm aja kagak mau bilang apaan ke mereka ges superlive supersoccer inirasanyasuper manchesterunited,siapa yang bisa gendong emyu kalo pilarnya justru tuntas kkm aja kagak mau bilang apaan ke mereka ges superlive supersoccer inirasanyasuper manchesterunited,siapa yang bisa gendong emyu kalo pilarnya justru tuntas kkm saja kagak mau bilang apaan ke mereka ges superlive supersoccer inirasanyasuper manchesterunited,"['siapa', 'yang', 'bisa', 'gendong', 'emyu', 'kalo', 'pilarnya', 'justru', 'tuntas', 'kkm', 'saja', 'kagak', 'mau', 'bilang', 'apaan', 'ke', 'mereka', 'ges', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",gendong emyu kalo pilarnya tuntas kkm kagak bilang ges superlive supersoccer inirasanyasuper manchesterunited
@ManUtd_ID Alhamdulillah tumbang... Mending united main di champiosip,alhamdulillah tumbang mending united main di champiosip,negatif,alhamdulillah tumbang mending united main di champiosip,alhamdulillah tumbang mending united main di champiosip,alhamdulillah tumbang mending united main di champiosip,"['alhamdulillah', 'tumbang', 'mending', 'united', 'main', 'di', 'champiosip']",alhamdulillah tumbang mending united main champiosip
@ManUtd_ID Kl Logika ini d pake maka tim baru yg kuat akan selalu kalah pamor....,kl logika ini d pake maka tim baru yg kuat akan selalu kalah pamor,negatif,kl logika ini d pake maka tim baru yg kuat akan selalu kalah pamor,kl logika ini d pake maka tim baru yg kuat akan selalu kalah pamor,kalo logika ini di pakai maka tim baru yang kuat akan selalu kalah pamor,"['kalo', 'logika', 'ini', 'di', 'pakai', 'maka', 'tim', 'baru', 'yang', 'kuat', 'akan', 'selalu', 'kalah', 'pamor']",kalo logika pakai tim kuat kalah pamor
@ManUtd_ID gas gak sih menangin kmrn sial aja si henderson jadi jago parah,gas gak sih menangin kmrn sial aja si henderson jadi jago parah,positif,gas gak sih menangin kmrn sial aja si henderson jadi jago parah,gas gak sih menangin kmrn sial aja si henderson jadi jago parah,gas enggak sih menangin kemarin sial saja sih henderson jadi jago parah,"['gas', 'enggak', 'sih', 'menangin', 'kemarin', 'sial', 'saja', 'sih', 'henderson', 'jadi', 'jago', 'parah']",gas sih menangin kemarin sial sih henderson jago parah
@ManUtd_ID WKWKWK,wkwkwk,positif,wkwkwk,wkwkwk,wkwkwk,['wkwkwk'],wkwkwk
@ManUtd_ID Premier league nya siapa gw tanya ha????!!! Premier league nya siapa??!!!!,premier league nya siapa gw tanya ha premier league nya siapa,netral,premier league nya siapa gw tanya ha premier league nya siapa,premier league nya siapa gw tanya ha premier league nya siapa,premier league nya siapa gue tanya ha premier league nya siapa,"['premier', 'league', 'nya', 'siapa', 'gue', 'tanya', 'ha', 'premier', 'league', 'nya', 'siapa']",premier league nya gue ha premier league nya
@ManUtd_ID jgn kaya monyet yh,jgn kaya monyet yh,negatif,jgn kaya monyet yh,jgn kaya monyet yh,jangan kaya monyet ya,"['jangan', 'kaya', 'monyet', 'ya']",kaya monyet ya
@ManUtd_ID Tenhag stay ila yaumul qiyamah,tenhag stay ila yaumul qiyamah,netral,tenhag stay ila yaumul qiyamah,tenhag stay ila yaumul qiyamah,tenhag stay ila yaumul qiyamah,"['tenhag', 'stay', 'ila', 'yaumul', 'qiyamah']",tenhag stay ila yaumul qiyamah
@eddowidyantoro1 @FaktaSepakbola Lah. Gua fans Emyu sejak jaman orok,lah gua fans emyu sejak jaman orok,positif,lah gua fans emyu sejak jaman orok,lah gua fans emyu sejak jaman orok,lah gua fan emyu sejak jaman orok,"['lah', 'gua', 'fan', 'emyu', 'sejak', 'jaman', 'orok']",gua fan emyu jaman orok
@ManUtd_ID Goblok,goblok,negatif,goblok,goblok,goblok,['goblok'],goblok
@ManUtd_ID mau ugarte 10 biji jg ga ngaruh @ihsaniadzkia,mau ugarte biji jg ga ngaruh,negatif,mau ugarte biji jg ga ngaruh,mau ugarte biji jg ga ngaruh,mau ugarte biji juga enggak ngaruh,"['mau', 'ugarte', 'biji', 'juga', 'enggak', 'ngaruh']",ugarte biji ngaruh
Dibeli MU cuma jadi bek kanan #Dorgu,dibeli mu cuma jadi bek kanan dorgu,negatif,dibeli mu cuma jadi bek kanan dorgu,dibeli mu cuma jadi bek kanan dorgu,dibeli mu cuma jadi bek kanan dorgu,"['dibeli', 'mu', 'cuma', 'jadi', 'bek', 'kanan', 'dorgu']",dibeli mu bek kanan dorgu
Erik Ten Hag yakin Manchester United bisa tambahkan trofi musim ini! Emyu dalam dua tahun terakhir Nol hanya City yang lebih banyak meraih trofi. Pertandingan seru vs Liverpool di Old Trafford ! #MUFC #MUNLIV #Football #update #news #seketika https://t.co/UkJC1iR5eI,erik ten hag yakin manchester united bisa tambahkan trofi musim ini emyu dalam dua tahun terakhir nol hanya city yang lebih banyak meraih trofi pertandingan seru vs liverpool di old trafford mufc munliv football update news seketika,netral,erik ten hag yakin manchester united bisa tambahkan trofi musim ini emyu dalam dua tahun terakhir nol hanya city yang lebih banyak meraih trofi pertandingan seru vs liverpool di old trafford mufc munliv football update news seketika,erik ten hag yakin manchester united bisa tambahkan trofi musim ini emyu dalam dua tahun terakhir nol hanya city yang lebih banyak meraih trofi pertandingan seru vs liverpool di old trafford mufc munliv football update news seketika,erik ten hag yakin manchester united bisa tambahkan trofi musim ini emyu dalam dua tahun terakhir nol hanya city yang lebih banyak meraih trofi pertandingan seru vs liverpool di old trafford mufc munliv football update news seketika,"['erik', 'ten', 'hag', 'yakin', 'manchester', 'united', 'bisa', 'tambahkan', 'trofi', 'musim', 'ini', 'emyu', 'dalam', 'dua', 'tahun', 'terakhir', 'nol', 'hanya', 'city', 'yang', 'lebih', 'banyak', 'meraih', 'trofi', 'pertandingan', 'seru', 'vs', 'liverpool', 'di', 'old', 'trafford', 'mufc', 'munliv', 'football', 'update', 'news', 'seketika']",erik ten hag manchester united tambahkan trofi musim emyu nol city meraih trofi pertandingan seru vs liverpool old trafford mufc munliv football update news
@ManUtd_ID @HarryMaguire93 Tuh kan Om @AsepWitoko,tuh kan om,positif,tuh kan om,tuh kan om,tuh kan om,"['tuh', 'kan', 'om']",tuh om
@ManUtd_ID Sekalian teriak sampai urat leher kelihatan terus diakhiri dengan kata eeeehhh dengan suara bergetar,sekalian teriak sampai urat leher kelihatan terus diakhiri dengan kata eh dengan suara bergetar,negatif,sekalian teriak sampai urat leher kelihatan terus diakhiri dengan kata eh dengan suara bergetar,sekalian teriak sampai urat leher kelihatan terus diakhiri dengan kata eh dengan suara bergetar,sekalian teriak sampai urat leher kelihatan terus diakhiri dengan kata eh dengan suara bergetar,"['sekalian', 'teriak', 'sampai', 'urat', 'leher', 'kelihatan', 'terus', 'diakhiri', 'dengan', 'kata', 'eh', 'dengan', 'suara', 'bergetar']",teriak urat leher eh suara bergetar
Udah mah hari Senin si kentot emyu Mlah kalah lagi. Jdi pngen cepet2 ganti platih ini mah #ManchesterUnited #Bapuk,udah mah hari senin si kentot emyu mlah kalah lagi jdi pngen cepet ganti platih ini mah manchesterunited bapuk,negatif,udah mah hari senin si kentot emyu mlah kalah lagi jdi pngen cepet ganti platih ini mah manchesterunited bapuk,udah mah hari senin si kentot emyu mlah kalah lagi jdi pngen cepet ganti platih ini mah manchesterunited bapuk,sudah mah hari senin sih kentot emyu malah kalah lagi jadi pengin cepat ganti platih ini mah manchesterunited bapuk,"['sudah', 'mah', 'hari', 'senin', 'sih', 'kentot', 'emyu', 'malah', 'kalah', 'lagi', 'jadi', 'pengin', 'cepat', 'ganti', 'platih', 'ini', 'mah', 'manchesterunited', 'bapuk']",mah senin sih kentot emyu kalah pengin cepat ganti platih mah manchesterunited bapuk
@txtdrkeylie 3 list pekerjaan terekstrim di dunia : - pelatih emyu - manager red devils - headcoach manchester united,list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united,netral,list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united,list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united,list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united,"['list', 'pekerjaan', 'terekstrim', 'di', 'dunia', 'pelatih', 'emyu', 'manager', 'red', 'devils', 'headcoach', 'manchester', 'united']",list pekerjaan terekstrim dunia pelatih emyu manager red devils headcoach manchester united
@idextratime @FabrizioRomano @DeadlineDayLive Bangsat! @ManUtd_ID,bangsat,negatif,bangsat,bangsat,bangsat,['bangsat'],bangsat
@ManUtd_ID Gausah komen gausah komen gausah komen,gausah komen gausah komen gausah komen,positif,gausah komen gausah komen gausah komen,gausah komen gausah komen gausah komen,enggak usah komen enggak usah komen enggak usah komen,"['enggak', 'usah', 'komen', 'enggak', 'usah', 'komen', 'enggak', 'usah', 'komen']",komen komen komen
@cesnuwt km pens emyu jg yah,km pens emyu jg yah,negatif,km pens emyu jg yah,km pens emyu jg yah,kamu pens emyu juga ya,"['kamu', 'pens', 'emyu', 'juga', 'ya']",pens emyu ya
Kedalaman squad Manchester United Musim depan tinggal cari pengganti Casemiro Eriksen dan cari proper LB #ManchesterUnited #kingemyu https://t.co/x7uirsedF6,kedalaman squad manchester united musim depan tinggal cari pengganti casemiro eriksen dan cari proper lb manchesterunited kingemyu,positif,kedalaman squad manchester united musim depan tinggal cari pengganti casemiro eriksen dan cari proper lb manchesterunited kingemyu,kedalaman squad manchester united musim depan tinggal cari pengganti casemiro eriksen dan cari proper lb manchesterunited kingemyu,kedalaman squad manchester united musim depan tinggal cari pengganti casemiro eriksen dan cari proper lb manchesterunited kingemyu,"['kedalaman', 'squad', 'manchester', 'united', 'musim', 'depan', 'tinggal', 'cari', 'pengganti', 'casemiro', 'eriksen', 'dan', 'cari', 'proper', 'lb', 'manchesterunited', 'kingemyu']",kedalaman squad manchester united musim tinggal cari pengganti casemiro eriksen cari proper lb manchesterunited kingemyu
@ManUtd_ID Kalah mesti,kalah mesti,negatif,kalah mesti,kalah mesti,kalah mesti,"['kalah', 'mesti']",kalah mesti
@ManUtd_ID wkwkwkwk,wkwkwkwk,negatif,wkwkwkwk,wkwkwkwk,wkwkwkwk,['wkwkwkwk'],wkwkwkwk
@ManUtd_ID @Snapdragon Enawa ngati a Gay,enawa ngati a gay,negatif,enawa ngati a gay,enawa ngati a gay,enawa ngati a gay,"['enawa', 'ngati', 'a', 'gay']",enawa ngati a gay
@idextratime Emang emyu yg bapuk parah ga bisa maksimalin goat.,emang emyu yg bapuk parah ga bisa maksimalin goat,negatif,emang emyu yg bapuk parah ga bisa maksimalin goat,emang emyu yg bapuk parah ga bisa maksimalin goat,memang emyu yang bapuk parah enggak bisa maksimalin goat,"['memang', 'emyu', 'yang', 'bapuk', 'parah', 'enggak', 'bisa', 'maksimalin', 'goat']",emyu bapuk parah maksimalin goat
@ManUtd_ID @adidasfootball pinter jualan ga pinter main bola,pinter jualan ga pinter main bola,negatif,pinter jualan ga pinter main bola,pinter jualan ga pinter main bola,pintar jualan enggak pintar main bola,"['pintar', 'jualan', 'enggak', 'pintar', 'main', 'bola']",pintar jualan pintar main bola
@nalar_logis @idextratime Ga ngaruh emang pada dasarnya emyu tim bapuk siapapun yg masuk jadi lord tim ampas penghancur karir pemain,ga ngaruh emang pada dasarnya emyu tim bapuk siapapun yg masuk jadi lord tim ampas penghancur karir pemain,negatif,ga ngaruh emang pada dasarnya emyu tim bapuk siapapun yg masuk jadi lord tim ampas penghancur karir pemain,ga ngaruh emang pada dasarnya emyu tim bapuk siapapun yg masuk jadi lord tim ampas penghancur karir pemain,enggak ngaruh memang pada dasarnya emyu tim bapuk siapapun yang masuk jadi lord tim ampas penghancur karir pemain,"['enggak', 'ngaruh', 'memang', 'pada', 'dasarnya', 'emyu', 'tim', 'bapuk', 'siapapun', 'yang', 'masuk', 'jadi', 'lord', 'tim', 'ampas', 'penghancur', 'karir', 'pemain']",ngaruh dasarnya emyu tim bapuk masuk lord tim ampas penghancur karir pemain
Manuel Ugarte telah berlatih bersama tim utama hari ini dan kemungkinan akan disiapkan untuk laga melawan Liverpool #ManchesterUnited #Ugarte #kingemyu https://t.co/YqJGFkSI36,manuel ugarte telah berlatih bersama tim utama hari ini dan kemungkinan akan disiapkan untuk laga melawan liverpool manchesterunited ugarte kingemyu,netral,manuel ugarte telah berlatih bersama tim utama hari ini dan kemungkinan akan disiapkan untuk laga melawan liverpool manchesterunited ugarte kingemyu,manuel ugarte telah berlatih bersama tim utama hari ini dan kemungkinan akan disiapkan untuk laga melawan liverpool manchesterunited ugarte kingemyu,manuel ugarte telah berlatih bersama tim utama hari ini dan kemungkinan akan disiapkan untuk laga melawan liverpool manchesterunited ugarte kingemyu,"['manuel', 'ugarte', 'telah', 'berlatih', 'bersama', 'tim', 'utama', 'hari', 'ini', 'dan', 'kemungkinan', 'akan', 'disiapkan', 'untuk', 'laga', 'melawan', 'liverpool', 'manchesterunited', 'ugarte', 'kingemyu']",manuel ugarte berlatih tim utama disiapkan laga melawan liverpool manchesterunited ugarte kingemyu
@ManUtd_ID Aing maung hawimauw hawimauw malaya.....,aing maung hawimauw hawimauw malaya,negatif,aing maung hawimauw hawimauw malaya,aing maung hawimauw hawimauw malaya,aing maung hawimauw hawimauw malaya,"['aing', 'maung', 'hawimauw', 'hawimauw', 'malaya']",aing maung hawimauw hawimauw malaya
@Lhaapie @ManUtd_ID Garai pikiran soale,garai pikiran soale,negatif,garai pikiran soale,garai pikiran soale,garai pikiran soale,"['garai', 'pikiran', 'soale']",garai pikiran soale
Selamat Hari Sumpah Pemuda 28 Oktober 2024! ~ Maju Bersama Indonesia Raya ð®ð© ð®ð©ð®ð© #SumpahPemuda2024 #TimnasDay #MajuBersama #IndonesiaRaya #Oktober #ARSLIV #PemudaIndonesia #SelamatHariSumpahPemuda ~~~ [ Arsenal Manchester United Emyu Lolos Australia Van Dijk Arteta Najwa ] https://t.co/bOhLMn4AZt,selamat hari sumpah pemuda oktober maju bersama indonesia raya sumpahpemuda timnasday majubersama indonesiaraya oktober arsliv pemudaindonesia selamatharisumpahpemuda arsenal manchester united emyu lolos australia van dijk arteta najwa,netral,selamat hari sumpah pemuda oktober maju bersama indonesia raya sumpahpemuda timnasday majubersama indonesiaraya oktober arsliv pemudaindonesia selamatharisumpahpemuda arsenal manchester united emyu lolos australia van dijk arteta najwa,selamat hari sumpah pemuda oktober maju bersama indonesia raya sumpahpemuda timnasday majubersama indonesiaraya oktober arsliv pemudaindonesia selamatharisumpahpemuda arsenal manchester united emyu lolos australia van dijk arteta najwa,selamat hari sumpah pemuda oktober maju bersama indonesia raya sumpahpemuda timnasday majubersama indonesiaraya oktober arsliv pemudaindonesia selamatharisumpahpemuda arsenal manchester united emyu lolos australia van dijk arteta najwa,"['selamat', 'hari', 'sumpah', 'pemuda', 'oktober', 'maju', 'bersama', 'indonesia', 'raya', 'sumpahpemuda', 'timnasday', 'majubersama', 'indonesiaraya', 'oktober', 'arsliv', 'pemudaindonesia', 'selamatharisumpahpemuda', 'arsenal', 'manchester', 'united', 'emyu', 'lolos', 'australia', 'van', 'dijk', 'arteta', 'najwa']",selamat sumpah pemuda oktober maju indonesia raya sumpahpemuda timnasday majubersama indonesiaraya oktober arsliv pemudaindonesia selamatharisumpahpemuda arsenal manchester united emyu lolos australia van dijk arteta najwa
Casemiro akan mempertahankan posisinya di Manchester United dan akan menolak semua tawaran yg masuk @ChrisWheelerDM #ManchesterUnited #Casemiro #kingemyu https://t.co/uxmP7Qbc6s,casemiro akan mempertahankan posisinya di manchester united dan akan menolak semua tawaran yg masuk manchesterunited casemiro kingemyu,netral,casemiro akan mempertahankan posisinya di manchester united dan akan menolak semua tawaran yg masuk manchesterunited casemiro kingemyu,casemiro akan mempertahankan posisinya di manchester united dan akan menolak semua tawaran yg masuk manchesterunited casemiro kingemyu,casemiro akan mempertahankan posisinya di manchester united dan akan menolak semua tawaran yang masuk manchesterunited casemiro kingemyu,"['casemiro', 'akan', 'mempertahankan', 'posisinya', 'di', 'manchester', 'united', 'dan', 'akan', 'menolak', 'semua', 'tawaran', 'yang', 'masuk', 'manchesterunited', 'casemiro', 'kingemyu']",casemiro mempertahankan posisinya manchester united menolak tawaran masuk manchesterunited casemiro kingemyu
