Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
@septian_ariss WKWKKWKKWKWKWKWKWKWKWKKKWKWKWKWKWKWKKWKKWKWKWKWKKWKWKKKWKWKWKWKWKWKWKKWKKKWKWKW PAGI PAGI UDAH NGAKAK,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi udah ngakak,positif,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi udah ngakak,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi udah ngakak,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi sudah mengakak,"['wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw', 'pagi', 'pagi', 'sudah', 'mengakak']",wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi mengakak
"Altay Bayindir mode Gacor ï£¿Ã¼Ã®â¢. Laga yg Luar biasa. Mau Dzolimi EmYu,, Nohhh di bayar kontan dgn Kemenangan",altay bayindir mode gacor laga yg luar biasa mau dzolimi emyu noh di bayar kontan dgn kemenangan,positif,altay bayindir mode gacor laga yg luar biasa mau dzolimi emyu noh di bayar kontan dgn kemenangan,altay bayindir mode gacor laga yg luar biasa mau dzolimi emyu noh di bayar kontan dgn kemenangan,altay bayindir mode gacor laga yang luar biasa mau dzolimi emyu noh di bayar kontan dengan kemenangan,"['altay', 'bayindir', 'mode', 'gacor', 'laga', 'yang', 'luar', 'biasa', 'mau', 'dzolimi', 'emyu', 'noh', 'di', 'bayar', 'kontan', 'dengan', 'kemenangan']",altay bayindir mode gacor laga dzolimi emyu noh bayar kontan kemenangan
Sunimi trupi ï£¿Ã¼Ã²Ã,sunimi trupi,netral,sunimi trupi,sunimi trupi,sunimi trupi,"['sunimi', 'trupi']",sunimi trupi
HOJLUND STRIKER TOLOL,hojlund striker tolol,negatif,hojlund striker tolol,hojlund striker tolol,hojlund striker tolol,"['hojlund', 'striker', 'tolol']",hojlund striker tolol
"stok pelatih top minim di Eropa skrg, ya semoga aja ETH bisa nemu pakem yg pas setelah kekalahan kemarin.. Harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera.",stok pelatih top minim di eropa skrg ya semoga aja eth bisa nemu pakem yg pas setelah kekalahan kemarin harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera,negatif,stok pelatih top minim di eropa skrg ya semoga aja eth bisa nemu pakem yg pas setelah kekalahan kemarin harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera,stok pelatih top minim di eropa skrg ya semoga aja eth bisa nemu pakem yg pas setelah kekalahan kemarin harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera,stok pelatih top minim di eropa sekarang ya semoga saja eth bisa nemu pakem yang pas setelah kekalahan kemarin harusnya sudah enggak coba lagi sih terlebih cuma beberapa pemain saja yang cedera,"['stok', 'pelatih', 'top', 'minim', 'di', 'eropa', 'sekarang', 'ya', 'semoga', 'saja', 'eth', 'bisa', 'nemu', 'pakem', 'yang', 'pas', 'setelah', 'kekalahan', 'kemarin', 'harusnya', 'sudah', 'enggak', 'coba', 'lagi', 'sih', 'terlebih', 'cuma', 'beberapa', 'pemain', 'saja', 'yang', 'cedera']",stok pelatih top minim eropa ya semoga eth nemu pakem pas kekalahan kemarin coba sih pemain cedera
"udah lah, sadar diri!!! beban!",udah lah sadar diri beban,negatif,udah lah sadar diri beban,udah lah sadar diri beban,sudah lah sadar diri beban,"['sudah', 'lah', 'sadar', 'diri', 'beban']",sadar beban
"Tim bermain cukup tenang, tetapi beberapa momen membingungkan seperti penyelesaian akhir yang kurang tajam.",tim bermain cukup tenang tetapi beberapa momen membingungkan seperti penyelesaian akhir yang kurang tajam,negatif,tim bermain cukup tenang tetapi beberapa momen membingungkan seperti penyelesaian akhir yang kurang tajam,tim bermain cukup tenang tetapi beberapa momen membingungkan seperti penyelesaian akhir yang kurang tajam,tim bermain cukup tenang tetapi beberapa momen membingungkan seperti penyelesaian akhir yang kurang tajam,"['tim', 'bermain', 'cukup', 'tenang', 'tetapi', 'beberapa', 'momen', 'membingungkan', 'seperti', 'penyelesaian', 'akhir', 'yang', 'kurang', 'tajam']",tim bermain tenang momen membingungkan penyelesaian tajam
"De gea/ diamonde, de light, maguire/ mazroi, mctomnay, maino,Davies/ Kvaratskhelia, hojlund/gyokeres, olise",de gea diamonde de light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,netral,de gea diamonde de light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,de gea diamonde de light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,deh gea diamonde deh light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,"['deh', 'gea', 'diamonde', 'deh', 'light', 'maguire', 'mazroi', 'mctomnay', 'mainodavies', 'kvaratskhelia', 'hojlundgyokeres', 'olise']",deh gea diamonde deh light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise
"Distribusi bola dari kiper lebih bervariasi, tidak monoton seperti era Ten Hag.",distribusi bola dari kiper lebih bervariasi tidak monoton seperti era ten hag,positif,distribusi bola dari kiper lebih bervariasi tidak monoton seperti era ten hag,distribusi bola dari kiper lebih bervariasi tidak monoton seperti era ten hag,distribusi bola dari kiper lebih bervariasi tidak monoton seperti era ten hag,"['distribusi', 'bola', 'dari', 'kiper', 'lebih', 'bervariasi', 'tidak', 'monoton', 'seperti', 'era', 'ten', 'hag']",distribusi bola kiper bervariasi monoton era ten hag
onana lawak banget wkwk,onana lawak banget wkwk,negatif,onana lawak banget wkwk,onana lawak banget wkwk,onana lawak banget wkwk,"['onana', 'lawak', 'banget', 'wkwk']",onana lawak banget wkwk
Rashy ï£¿Ã¼Ã«Ã tadi ciptakan peluang ada juga bagus lagi.,rashy tadi ciptakan peluang ada juga bagus lagi,positif,rashy tadi ciptakan peluang ada juga bagus lagi,rashy tadi ciptakan peluang ada juga bagus lagi,rashy tadi ciptakan peluang ada juga bagus lagi,"['rashy', 'tadi', 'ciptakan', 'peluang', 'ada', 'juga', 'bagus', 'lagi']",rashy ciptakan peluang bagus
Hasil masih belum konsisten tapi permainan mulai membaik.,hasil masih belum konsisten tapi permainan mulai membaik,positif,hasil masih belum konsisten tapi permainan mulai membaik,hasil masih belum konsisten tapi permainan mulai membaik,hasil masih belum konsisten tapi permainan mulai membaik,"['hasil', 'masih', 'belum', 'konsisten', 'tapi', 'permainan', 'mulai', 'membaik']",hasil konsisten permainan membaik
"Onana udah berusaha keras, tapi defense kita masih bocor! Harus ada pembenahan segera! 2-1 aja nggak cukup.",onana udah berusaha keras tapi defense kita masih bocor harus ada pembenahan segera aja nggak cukup,positif,onana udah berusaha keras tapi defense kita masih bocor harus ada pembenahan segera aja nggak cukup,onana udah berusaha keras tapi defense kita masih bocor harus ada pembenahan segera aja nggak cukup,onana sudah berusaha keras tapi defense kita masih bocor harus ada pembenahan segera saja enggak cukup,"['onana', 'sudah', 'berusaha', 'keras', 'tapi', 'defense', 'kita', 'masih', 'bocor', 'harus', 'ada', 'pembenahan', 'segera', 'saja', 'enggak', 'cukup']",onana berusaha keras defense bocor pembenahan
"@rezkynurhadii fulham juga ancur""an kocak, gimana ga bagus kalo lawan lu aja jelek, dari segi apapun jelas dibawah Mu Fulham bro. Mau gimana lagi ini botak udah 2 musim main stagnan mulu mau sampe kapan wkwkwk",fulham juga ancuran kocak gimana ga bagus kalo lawan lu aja jelek dari segi apapun jelas dibawah mu fulham bro mau gimana lagi ini botak udah musim main stagnan mulu mau sampe kapan wkwkwk,negatif,fulham juga ancuran kocak gimana ga bagus kalo lawan lu aja jelek dari segi apapun jelas dibawah mu fulham bro mau gimana lagi ini botak udah musim main stagnan mulu mau sampe kapan wkwkwk,fulham juga ancuran kocak gimana ga bagus kalo lawan lu aja jelek dari segi apapun jelas dibawah mu fulham bro mau gimana lagi ini botak udah musim main stagnan mulu mau sampe kapan wkwkwk,fulham juga ancuran kocak bagaimana enggak bagus kalo lawan lu saja jelek dari segi apapun jelas dibawah mu fulham bro mau bagaimana lagi ini botak sudah musim main stagnan mulu mau sampai kapan wkwkwk,"['fulham', 'juga', 'ancuran', 'kocak', 'bagaimana', 'enggak', 'bagus', 'kalo', 'lawan', 'lu', 'saja', 'jelek', 'dari', 'segi', 'apapun', 'jelas', 'dibawah', 'mu', 'fulham', 'bro', 'mau', 'bagaimana', 'lagi', 'ini', 'botak', 'sudah', 'musim', 'main', 'stagnan', 'mulu', 'mau', 'sampai', 'kapan', 'wkwkwk']",fulham ancuran kocak bagus kalo lawan lu jelek segi apapun dibawah mu fulham bro botak musim main stagnan mulu wkwkwk
"Amorim ini bukan pelatih biasa, dia mastermind! Permainan tim jadi lebih hidup!",amorim ini bukan pelatih biasa dia mastermind permainan tim jadi lebih hidup,positif,amorim ini bukan pelatih biasa dia mastermind permainan tim jadi lebih hidup,amorim ini bukan pelatih biasa dia mastermind permainan tim jadi lebih hidup,amorim ini bukan pelatih biasa dia mastermind permainan tim jadi lebih hidup,"['amorim', 'ini', 'bukan', 'pelatih', 'biasa', 'dia', 'mastermind', 'permainan', 'tim', 'jadi', 'lebih', 'hidup']",amorim pelatih mastermind permainan tim hidup
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main kapan jam berapa,jadwal main kapan jam berapa,jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
Anthony malah dipinjemin,anthony malah dipinjemin,negatif,anthony malah dipinjemin,anthony malah dipinjemin,anthony malah dipinjemin,"['anthony', 'malah', 'dipinjemin']",anthony dipinjemin
"Saya optimis dengan pengaruh Ruben Amorim, meskipun hasil imbang, Rashford dan Bruno Fernandes semakin banyak bekerja sama.",saya optimis dengan pengaruh ruben amorim meskipun hasil imbang rashford dan bruno fernandes semakin banyak bekerja sama,positif,saya optimis dengan pengaruh ruben amorim meskipun hasil imbang rashford dan bruno fernandes semakin banyak bekerja sama,saya optimis dengan pengaruh ruben amorim meskipun hasil imbang rashford dan bruno fernandes semakin banyak bekerja sama,saya optimis dengan pengaruh ruben amorim meskipun hasil imbang rashford dan bruno fernandes semakin banyak bekerja sama,"['saya', 'optimis', 'dengan', 'pengaruh', 'ruben', 'amorim', 'meskipun', 'hasil', 'imbang', 'rashford', 'dan', 'bruno', 'fernandes', 'semakin', 'banyak', 'bekerja', 'sama']",optimis pengaruh ruben amorim hasil imbang rashford bruno fernandes
Mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,negatif,mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,mending maenin sancho lah dari pada rashford enggak bisa drible ngelewatin pemain saja bingung,"['mending', 'maenin', 'sancho', 'lah', 'dari', 'pada', 'rashford', 'enggak', 'bisa', 'drible', 'ngelewatin', 'pemain', 'saja', 'bingung']",mending maenin sancho rashford drible ngelewatin pemain bingung
Taktik Amorim emang bikin tim lebih kompak. Setiap pemain punya peran penting yang saling melengkapi.,taktik amorim emang bikin tim lebih kompak setiap pemain punya peran penting yang saling melengkapi,positif,taktik amorim emang bikin tim lebih kompak setiap pemain punya peran penting yang saling melengkapi,taktik amorim emang bikin tim lebih kompak setiap pemain punya peran penting yang saling melengkapi,taktik amorim memang bikin tim lebih kompak setiap pemain punya peran penting yang saling melengkapi,"['taktik', 'amorim', 'memang', 'bikin', 'tim', 'lebih', 'kompak', 'setiap', 'pemain', 'punya', 'peran', 'penting', 'yang', 'saling', 'melengkapi']",taktik amorim bikin tim kompak pemain peran melengkapi
"Harusnya lebih banyak latihan penyelesaian akhir, terlalu banyak peluang terbuang.",harusnya lebih banyak latihan penyelesaian akhir terlalu banyak peluang terbuang,negatif,harusnya lebih banyak latihan penyelesaian akhir terlalu banyak peluang terbuang,harusnya lebih banyak latihan penyelesaian akhir terlalu banyak peluang terbuang,harusnya lebih banyak latihan penyelesaian akhir terlalu banyak peluang terbuang,"['harusnya', 'lebih', 'banyak', 'latihan', 'penyelesaian', 'akhir', 'terlalu', 'banyak', 'peluang', 'terbuang']",latihan penyelesaian peluang terbuang
Gua bingung Dh line up macam apa ini.....,gua bingung dh line up macam apa ini,negatif,gua bingung dh line up macam apa ini,gua bingung dh line up macam apa ini,gua bingung dah line up macam apa ini,"['gua', 'bingung', 'dah', 'line', 'up', 'macam', 'apa', 'ini']",gua bingung dah line up
dan akhirnya kalah,dan akhirnya kalah,negatif,dan akhirnya kalah,dan akhirnya kalah,dan akhirnya kalah,"['dan', 'akhirnya', 'kalah']",kalah
"Lemah lembek pemain arsenal, malu2in dikit2 pelanggaran",lemah lembek pemain arsenal maluin dikit pelanggaran,positif,lemah lembek pemain arsenal maluin dikit pelanggaran,lemah lembek pemain arsenal maluin dikit pelanggaran,lemah lembek pemain arsenal maluin dikit pelanggaran,"['lemah', 'lembek', 'pemain', 'arsenal', 'maluin', 'dikit', 'pelanggaran']",lemah lembek pemain arsenal maluin dikit pelanggaran
"Berdoa, mulai!",berdoa mulai,netral,berdoa mulai,berdoa mulai,berdoa mulai,"['berdoa', 'mulai']",berdoa
"@egrmdna nanti kalau juara uel di apresiasi, bagus setiap ada tahun ada trofi daripada Arsenal g ada hanya atas aja",nanti kalau juara uel di apresiasi bagus setiap ada tahun ada trofi daripada arsenal g ada hanya atas aja,positif,nanti kalau juara uel di apresiasi bagus setiap ada tahun ada trofi daripada arsenal g ada hanya atas aja,nanti kalau juara uel di apresiasi bagus setiap ada tahun ada trofi daripada arsenal g ada hanya atas aja,nanti kalau juara uel di apresiasi bagus setiap ada tahun ada trofi daripada arsenal enggak ada hanya atas saja,"['nanti', 'kalau', 'juara', 'uel', 'di', 'apresiasi', 'bagus', 'setiap', 'ada', 'tahun', 'ada', 'trofi', 'daripada', 'arsenal', 'enggak', 'ada', 'hanya', 'atas', 'saja']",juara uel apresiasi bagus trofi arsenal
Lord,lord,positif,lord,lord,lord,['lord'],lord
@ranuangg kalo enzo gw masih suka sih sebagai fans emyu tapi kalo caicedo udah ga ketolong,kalo enzo gw masih suka sih sebagai fans emyu tapi kalo caicedo udah ga ketolong,positif,kalo enzo gw masih suka sih sebagai fans emyu tapi kalo caicedo udah ga ketolong,kalo enzo gw masih suka sih sebagai fans emyu tapi kalo caicedo udah ga ketolong,kalo enzo gue masih suka sih sebagai fan emyu tapi kalo caicedo sudah enggak ketolong,"['kalo', 'enzo', 'gue', 'masih', 'suka', 'sih', 'sebagai', 'fan', 'emyu', 'tapi', 'kalo', 'caicedo', 'sudah', 'enggak', 'ketolong']",kalo enzo gue suka sih fan emyu kalo caicedo ketolong
"@kevin_beatrix ya jelas lah, performa aja jelek, dia bagus",ya jelas lah performa aja jelek dia bagus,negatif,ya jelas lah performa aja jelek dia bagus,ya jelas lah performa aja jelek dia bagus,ya jelas lah performa saja jelek dia bagus,"['ya', 'jelas', 'lah', 'performa', 'saja', 'jelek', 'dia', 'bagus']",ya performa jelek bagus
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main kapan jam berapa,jadwal main kapan jam berapa,jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"Ruben Amorim membawa filosofi permainan yang menarik, meskipun imbang, saya berharap dia bisa segera membuat MU lebih kompetitif.",ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,positif,ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,"['ruben', 'amorim', 'membawa', 'filosofi', 'permainan', 'yang', 'menarik', 'meskipun', 'imbang', 'saya', 'berharap', 'dia', 'bisa', 'segera', 'membuat', 'mu', 'lebih', 'kompetitif']",ruben amorim membawa filosofi permainan menarik imbang berharap mu kompetitif
mau nonton tapi besok masuk kerja pagi huh,mau nonton tapi besok masuk kerja pagi huh,negatif,mau nonton tapi besok masuk kerja pagi huh,mau nonton tapi besok masuk kerja pagi huh,mau menonton tapi besok masuk kerja pagi huh,"['mau', 'menonton', 'tapi', 'besok', 'masuk', 'kerja', 'pagi', 'huh']",menonton besok masuk kerja pagi huh
Walaupun ga puasa trofi tapi secara permainan masih mendingan era ole dah ketimbang tenhag,walaupun ga puasa trofi tapi secara permainan masih mendingan era ole dah ketimbang tenhag,positif,walaupun ga puasa trofi tapi secara permainan masih mendingan era ole dah ketimbang tenhag,walaupun ga puasa trofi tapi secara permainan masih mendingan era ole dah ketimbang tenhag,walaupun enggak puasa trofi tapi secara permainan masih mendingan era ole deh ketimbang tenhag,"['walaupun', 'enggak', 'puasa', 'trofi', 'tapi', 'secara', 'permainan', 'masih', 'mendingan', 'era', 'ole', 'deh', 'ketimbang', 'tenhag']",puasa trofi permainan mendingan era ole deh ketimbang tenhag
Eth kepala batu. Cocoknya diganti emang pelatih medioker itu,eth kepala batu cocoknya diganti emang pelatih medioker itu,negatif,eth kepala batu cocoknya diganti emang pelatih medioker itu,eth kepala batu cocoknya diganti emang pelatih medioker itu,eth kepala batu cocoknya diganti memang pelatih medioker itu,"['eth', 'kepala', 'batu', 'cocoknya', 'diganti', 'memang', 'pelatih', 'medioker', 'itu']",eth kepala batu cocoknya diganti pelatih medioker
"@hendycendol_ yasemoga ya, sejelek jeleknya eth, klo udh difinal mainnya lumayan bagus",yasemoga ya sejelek jeleknya eth klo udh difinal mainnya lumayan bagus,positif,yasemoga ya sejelek jeleknya eth klo udh difinal mainnya lumayan bagus,yasemoga ya sejelek jeleknya eth klo udh difinal mainnya lumayan bagus,yasemoga ya sejelek jeleknya eth kalo sudah difinal mainnya lumayan bagus,"['yasemoga', 'ya', 'sejelek', 'jeleknya', 'eth', 'kalo', 'sudah', 'difinal', 'mainnya', 'lumayan', 'bagus']",yasemoga ya sejelek jeleknya eth kalo difinal mainnya lumayan bagus
Pergerakan tanpa bola lebih baik di era Amorim dibanding Ten Hag.,pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,positif,pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,"['pergerakan', 'tanpa', 'bola', 'lebih', 'baik', 'di', 'era', 'amorim', 'dibanding', 'ten', 'hag']",pergerakan bola era amorim dibanding ten hag
Amorim harus segera bangkit setelah kekalahan ini! 1-2 adalah hasil yang sangat mengecewakan.,amorim harus segera bangkit setelah kekalahan ini adalah hasil yang sangat mengecewakan,negatif,amorim harus segera bangkit setelah kekalahan ini adalah hasil yang sangat mengecewakan,amorim harus segera bangkit setelah kekalahan ini adalah hasil yang sangat mengecewakan,amorim harus segera bangkit setelah kekalahan ini adalah hasil yang sangat mengecewakan,"['amorim', 'harus', 'segera', 'bangkit', 'setelah', 'kekalahan', 'ini', 'adalah', 'hasil', 'yang', 'sangat', 'mengecewakan']",amorim bangkit kekalahan hasil mengecewakan
@_farisrf ï£¿Ã¼Ã²Ã. Ini nih komen epik,ini nih komen epik,netral,ini nih komen epik,ini nih komen epik,ini nih komen epik,"['ini', 'nih', 'komen', 'epik']",nih komen epik
naufal mending pulang cuci kaki tidur yak karna komenan lu bikin org tertawa terpingkal pingkal,naufal mending pulang cuci kaki tidur yak karna komenan lu bikin org tertawa terpingkal pingkal,negatif,naufal mending pulang cuci kaki tidur yak karna komenan lu bikin org tertawa terpingkal pingkal,naufal mending pulang cuci kaki tidur yak karna komenan lu bikin org tertawa terpingkal pingkal,naufal mending pulang cuci kaki tidur ya karena komentar lu bikin orang tertawa terpingkal pingkal,"['naufal', 'mending', 'pulang', 'cuci', 'kaki', 'tidur', 'ya', 'karena', 'komentar', 'lu', 'bikin', 'orang', 'tertawa', 'terpingkal', 'pingkal']",naufal mending pulang cuci kaki tidur ya komentar lu bikin orang tertawa terpingkal pingkal
Klo minjem gbisa dimainin lawan timnya emang?,klo minjem gbisa dimainin lawan timnya emang,positif,klo minjem gbisa dimainin lawan timnya emang,klo minjem gbisa dimainin lawan timnya emang,kalo minjem gbisa dimainin lawan timnya memang,"['kalo', 'minjem', 'gbisa', 'dimainin', 'lawan', 'timnya', 'memang']",kalo minjem gbisa dimainin lawan timnya
Yes setuju minn,yes setuju minn,positif,yes setuju minn,yes setuju minn,yes setuju minn,"['yes', 'setuju', 'minn']",yes setuju minn
"Pertahanan masih jadi masalah, terlalu mudah ditembus seperti era Ten Hag.",pertahanan masih jadi masalah terlalu mudah ditembus seperti era ten hag,negatif,pertahanan masih jadi masalah terlalu mudah ditembus seperti era ten hag,pertahanan masih jadi masalah terlalu mudah ditembus seperti era ten hag,pertahanan masih jadi masalah terlalu mudah ditembus seperti era ten hag,"['pertahanan', 'masih', 'jadi', 'masalah', 'terlalu', 'mudah', 'ditembus', 'seperti', 'era', 'ten', 'hag']",pertahanan mudah ditembus era ten hag
"pelatih baru, squad seadanya , tapi permainan kalah total wkwkw",pelatih baru squad seadanya tapi permainan kalah total wkwkw,negatif,pelatih baru squad seadanya tapi permainan kalah total wkwkw,pelatih baru squad seadanya tapi permainan kalah total wkwkw,pelatih baru squad seadanya tapi permainan kalah total wkwkw,"['pelatih', 'baru', 'squad', 'seadanya', 'tapi', 'permainan', 'kalah', 'total', 'wkwkw']",pelatih squad seadanya permainan kalah total wkwkw
@akubangje siap si paling efootball,siap si paling efootball,positif,siap si paling efootball,siap si paling efootball,siap sih paling efootball,"['siap', 'sih', 'paling', 'efootball']",sih efootball
"MU harus segera cari bek tengah baru, terlalu mudah ditembus lawan.",mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,negatif,mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,"['mu', 'harus', 'segera', 'cari', 'bek', 'tengah', 'baru', 'terlalu', 'mudah', 'ditembus', 'lawan']",mu cari bek mudah ditembus lawan
jadwal main emyu kalah lagi bang,jadwal main emyu kalah lagi bang,negatif,jadwal main emyu kalah lagi bang,jadwal main emyu kalah lagi bang,jadwal main emyu kalah lagi bang,"['jadwal', 'main', 'emyu', 'kalah', 'lagi', 'bang']",jadwal main emyu kalah bang
@muhammad_dani131 ya syukur kalo lo menikmati permainan antah berantah. aplg doyan liat bola di trashford,ya syukur kalo lo menikmati permainan antah berantah aplg doyan liat bola di trashford,positif,ya syukur kalo lo menikmati permainan antah berantah aplg doyan liat bola di trashford,ya syukur kalo lo menikmati permainan antah berantah aplg doyan liat bola di trashford,ya syukur kalo lo menikmati permainan antah berantah aplg doyan lihat bola di trashford,"['ya', 'syukur', 'kalo', 'lo', 'menikmati', 'permainan', 'antah', 'berantah', 'aplg', 'doyan', 'lihat', 'bola', 'di', 'trashford']",ya syukur kalo lo menikmati permainan antah berantah aplg doyan lihat bola trashford
Sangaaat layaaak.... Tim remukan rengginang tukang sogok wasittt.. Harooommmmm,sangat layak tim remukan rengginang tukang sogok wasit harom,positif,sangat layak tim remukan rengginang tukang sogok wasit harom,sangat layak tim remukan rengginang tukang sogok wasit harom,sangat layak tim remukan rengginang tukang sogok wasit harom,"['sangat', 'layak', 'tim', 'remukan', 'rengginang', 'tukang', 'sogok', 'wasit', 'harom']",layak tim remukan rengginang tukang sogok wasit harom
"@rvnnn.99 impas lah, kemarin zirkzee yg bikin memang, sekarang dia juga yg bikin gagal menangï£¿Ã¼Ã²Ã",impas lah kemarin zirkzee yg bikin memang sekarang dia juga yg bikin gagal menang,positif,impas lah kemarin zirkzee yg bikin memang sekarang dia juga yg bikin gagal menang,impas lah kemarin zirkzee yg bikin memang sekarang dia juga yg bikin gagal menang,impas lah kemarin zirkzee yang bikin memang sekarang dia juga yang bikin gagal menang,"['impas', 'lah', 'kemarin', 'zirkzee', 'yang', 'bikin', 'memang', 'sekarang', 'dia', 'juga', 'yang', 'bikin', 'gagal', 'menang']",impas kemarin zirkzee bikin bikin gagal menang
"Sangat mengecewakan! 1-2 kalah, pertahanan dan serangan sangat buruk! Kita harus belajar dari kesalahan ini.",sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,negatif,sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,"['sangat', 'mengecewakan', 'kalah', 'pertahanan', 'dan', 'serangan', 'sangat', 'buruk', 'kita', 'harus', 'belajar', 'dari', 'kesalahan', 'ini']",mengecewakan kalah pertahanan serangan buruk belajar kesalahan
"Amorim bawa MU main seperti tim juara, Ten Hag cuma bisa parkir bus. Viva Amorim!",amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,netral,amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,"['amorim', 'bawa', 'mu', 'main', 'seperti', 'tim', 'juara', 'ten', 'hag', 'cuma', 'bisa', 'parkir', 'bus', 'viva', 'amorim']",amorim bawa mu main tim juara ten hag parkir bus viva amorim
"Suka sama ide Amorim, cuma masih perlu waktu biar tim lebih solid. Kadang kebobolan karena kurang fokus.",suka sama ide amorim cuma masih perlu waktu biar tim lebih solid kadang kebobolan karena kurang fokus,positif,suka sama ide amorim cuma masih perlu waktu biar tim lebih solid kadang kebobolan karena kurang fokus,suka sama ide amorim cuma masih perlu waktu biar tim lebih solid kadang kebobolan karena kurang fokus,suka sama ide amorim cuma masih perlu waktu biar tim lebih solid kadang kebobolan karena kurang fokus,"['suka', 'sama', 'ide', 'amorim', 'cuma', 'masih', 'perlu', 'waktu', 'biar', 'tim', 'lebih', 'solid', 'kadang', 'kebobolan', 'karena', 'kurang', 'fokus']",suka ide amorim biar tim solid kadang kebobolan fokus
